DAY,TIME,INFLOW(m3/s),STORAGE(1000m3),ELEVATION(m),OUTFLOW(m3/s),
01/10/18,11:00,   253.56770000,829984.84000000,   213.80100000,   185.00000000,
01/10/18,12:00,   254.24371538,830238.30051601,   213.80579675,   182.00001760,
01/10/18,13:00,   259.46415207,830513.17461404,   213.81099876,   179.00001761,
01/10/18,14:00,   262.68898926,830805.05020502,   213.81652252,   181.00001762,
01/10/18,15:00,   261.39089587,831096.79393478,   213.82204379,   181.00001763,
01/10/18,16:00,   261.77358303,831388.68993330,   213.82756794,   180.00001764,
01/10/18,17:00,   262.04463193,831681.76265668,   213.83311436,   181.00001766,
01/10/18,18:00,   264.06500459,831971.75993885,   213.83860257,   184.00001767,
01/10/18,19:00,   260.63600177,832261.02168667,   213.84407687,   180.00001768,
01/10/18,20:00,   255.28643145,832545.28200280,   213.84945651,   178.00001769,
01/10/18,21:00,   251.21279671,832753.18054978,   213.85339100,   213.00001770,
01/10/18,22:00,   246.40546797,832952.29336247,   213.85715922,   174.00001771,
01/10/18,23:00,   245.74511845,833136.16435426,   213.86063899,   216.00001771,
01/11/18,00:00,   243.98838402,833232.88459492,   213.86246943,   220.00001772,
01/11/18,01:00,   241.89353231,833317.27198051,   213.86406646,   219.00001772,
01/11/18,02:00,   240.82741243,833462.56961724,   213.86681623,   183.00001773,
01/11/18,03:00,   237.36708940,833603.31965669,   213.86947993,   217.00001773,
01/11/18,04:00,   238.43284208,833680.35946949,   213.87093792,   216.00001774,
01/11/18,05:00,   236.83857772,833817.64796125,   213.87353611,   183.00001774,
01/11/18,06:00,   235.76949912,834014.94243569,   213.87726992,   180.00001775,
01/11/18,07:00,   236.23728428,834214.75458192,   213.88105137,   181.00001775,
01/11/18,08:00,   231.62167088,834090.30063726,   213.87869608,   356.00001776,
01/11/18,09:00,   232.21025034,833648.99803151,   213.87034440,   353.00001776,
01/11/18,10:00,   236.64717321,833205.94132999,   213.86195953,   362.00001774,
01/11/18,11:00,   234.00211277,832740.90998092,   213.85315878,   367.00001772,
