DAY,TIME,PRECIP(mm),LOSS(mm),EXCESS(mm),DIRECT FLOW(m3/s),BASE FLOW(m3/s),TOTAL FLOW(m3/s),
"06/03/16",01:00,     0.30500000,     0.28975000,     0.01525000,     4.34578521,     0.00000000,     4.34578521,
"06/03/16",02:00,     0.30500000,     0.28975000,     0.01525000,     4.36562634,     0.00000000,     4.36562634,
"06/03/16",03:00,     0.30500000,     0.28975000,     0.01525000,     4.38200682,     0.00000000,     4.38200682,
"06/03/16",04:00,     0.30500000,     0.28975000,     0.01525000,     4.39566490,     0.00000000,     4.39566490,
"06/03/16",05:00,     0.30500000,     0.28975000,     0.01525000,     4.40685438,     0.00000000,     4.40685438,
"06/03/16",06:00,     0.30500000,     0.28975000,     0.01525000,     4.41619817,     0.00000000,     4.41619817,
"06/03/16",07:00,     0.30500000,     0.28975000,     0.01525000,     4.42388084,     0.00000000,     4.42388084,
"06/03/16",08:00,     0.30500000,     0.28975000,     0.01525000,     4.43017924,     0.00000000,     4.43017924,
"06/03/16",09:00,     0.30500000,     0.28975000,     0.01525000,     4.43541638,     0.00000000,     4.43541638,
"06/03/16",10:00,     0.30500000,     0.28975000,     0.01525000,     4.43973067,     0.00000000,     4.43973067,
"06/03/16",11:00,     0.30500000,     0.28975000,     0.01525000,     4.44349126,     0.00000000,     4.44349126,
"06/03/16",12:00,     0.30500000,     0.28975000,     0.01525000,     4.44669814,     0.00000000,     4.44669814,
"06/03/16",13:00,     0.30500000,     0.28975000,     0.01525000,     4.44935132,     0.00000000,     4.44935132,
"06/03/16",14:00,     0.30500000,     0.28975000,     0.01525000,     4.45145079,     0.00000000,     4.45145079,
"06/03/16",15:00,     0.30500000,     0.28975000,     0.01525000,     4.45306576,     0.00000000,     4.45306576,
"06/03/16",16:00,     0.30500000,     0.28975000,     0.01525000,     4.45421932,     0.00000000,     4.45421932,
"06/03/16",17:00,     0.30500000,     0.28975000,     0.01525000,     4.45491145,     0.00000000,     4.45491145,
"06/03/16",18:00,     0.30500000,     0.28975000,     0.01525000,     4.45514216,     0.00000000,     4.45514216,
"06/03/16",19:00,     0.30500000,     0.28975000,     0.01525000,     4.45514216,     0.00000000,     4.45514216,
"06/03/16",20:00,     0.30500000,     0.28975000,     0.01525000,     4.45514216,     0.00000000,     4.45514216,
"06/03/16",21:00,     0.30500000,     0.28975000,     0.01525000,     4.45514216,     0.00000000,     4.45514216,
"06/03/16",22:00,     0.30500000,     0.28975000,     0.01525000,     4.45514216,     0.00000000,     4.45514216,
"06/03/16",23:00,     0.30500000,     0.28975000,     0.01525000,     4.45514216,     0.00000000,     4.45514216,
"06/04/16",00:00,     0.30500000,     0.28975000,     0.01525000,     4.45514216,     0.00000000,     4.45514216,
"06/04/16",01:00,     0.30500000,     0.28975000,     0.01525000,     4.45514216,     0.00000000,     4.45514216,
"06/04/16",02:00,     0.30500000,     0.28975000,     0.01525000,     4.45514216,     0.00000000,     4.45514216,
"06/04/16",03:00,     0.30500000,     0.28975000,     0.01525000,     4.45514216,     0.00000000,     4.45514216,
"06/04/16",04:00,     0.30500000,     0.28975000,     0.01525000,     4.45514216,     0.00000000,     4.45514216,
"06/04/16",05:00,     0.30500000,     0.28975000,     0.01525000,     4.45514216,     0.00000000,     4.45514216,
"06/04/16",06:00,     0.30500000,     0.28975000,     0.01525000,     4.45514216,     0.00000000,     4.45514216,
"06/04/16",07:00,     0.30500000,     0.28975000,     0.01525000,     4.45514216,     0.00000000,     4.45514216,
"06/04/16",08:00,     0.30500000,     0.28975000,     0.01525000,     4.45514216,     0.00000000,     4.45514216,
"06/04/16",09:00,     0.30500000,     0.28975000,     0.01525000,     4.45514216,     0.00000000,     4.45514216,
"06/04/16",10:00,     0.30500000,     0.28975000,     0.01525000,     4.45514216,     0.00000000,     4.45514216,
"06/04/16",11:00,     0.30500000,     0.28975000,     0.01525000,     4.45514216,     0.00000000,     4.45514216,
"06/04/16",12:00,     0.30500000,     0.28975000,     0.01525000,     4.45514216,     0.00000000,     4.45514216,
"06/04/16",13:00,     0.30500000,     0.28975000,     0.01525000,     4.45514216,     0.00000000,     4.45514216,
"06/04/16",14:00,     0.30500000,     0.28975000,     0.01525000,     4.45514216,     0.00000000,     4.45514216,
"06/04/16",15:00,     0.30500000,     0.28975000,     0.01525000,     4.45514216,     0.00000000,     4.45514216,
"06/04/16",16:00,     0.30500000,     0.28975000,     0.01525000,     4.45514216,     0.00000000,     4.45514216,
"06/04/16",17:00,     0.30500000,     0.28975000,     0.01525000,     4.45514216,     0.00000000,     4.45514216,
"06/04/16",18:00,     0.30500000,     0.28975000,     0.01525000,     4.45514216,     0.00000000,     4.45514216,
"06/04/16",19:00,     0.30500000,     0.28975000,     0.01525000,     4.45514216,     0.00000000,     4.45514216,
"06/04/16",20:00,     0.30500000,     0.28975000,     0.01525000,     4.45514216,     0.00000000,     4.45514216,
"06/04/16",21:00,     0.30500000,     0.28975000,     0.01525000,     4.45514216,     0.00000000,     4.45514216,
"06/04/16",22:00,     0.30500000,     0.28975000,     0.01525000,     4.45514216,     0.00000000,     4.45514216,
"06/04/16",23:00,     0.30500000,     0.28975000,     0.01525000,     4.45514216,     0.00000000,     4.45514216,
"06/05/16",00:00,     0.30500000,     0.28975000,     0.01525000,     4.45514216,     0.00000000,     4.45514216,
